ACE,arts_centre,atm,bank,bar,bbq,bench,bicycle_parking,bicycle_rental,bookshop,bureau_de_change,bus_station,cafe,car_rental,car_sharing,car_wash,charging_station,childcare,cinema,clinic,clock,college,community_centre,conference_centre,courthouse,coworking_space,dentist,doctors,dormitory,drinking_water,driving_school,embassy,emergency_phone,fast_food,fire_station,food_court,fountain,fuel,gambling,grave_yard,gym,hospital,ice_cream,insurance,kindergarten,language_school,library,marketplace,massage,monastery,money_transfer,motorcycle_parking,nightclub,parking,parking_entrance,person_weighing,pharmacy,photo_booth,place_of_worship,police,post_box,post_office,pub,public_bookcase,public_building,recycling,recylcing,restaurant,school,shelter,shower,social_centre,social_club,social_facility,studio,swimming_pool,taxi,telephone,theatre,toilets,townhall,university,Upcoming supermarket,vending_machine,veterinary,waste_basket,waste_disposal,water_point,wifi
11,0,0.000267384078717873,0.0175856451772139,0.0130689110474874,0,0.0305805114029026,0.0117978082732748,0.00740448217987955,0,0,0,0.0308602362852536,0,0,0,0,0,9.46128278540165e-05,0,0.000855629051897193,0,0,0,0,0,0,0,0,0.00163309968078455,2.87952084773094e-05,0,0,0.00123408036331326,0,0,0,0,0,0,0,0,0,4.1136012110442e-06,0,0,0,0,0,0,0,0,0.000148089643597591,0.00146444203113173,0.00122585316089117,0,0.0127727317602922,0,0.000143976042386547,0,0.000740448217987955,0.00033320169809458,0.000505972948958436,0,0,0,0,0.0692319083818738,0.00101194589791687,0,0,0,0,0,0,0,0.000756902622832132,0.00705893967815184,0.000139862441175503,0,0,0,0,0.00139862441175503,0,0.0452496133214862,0,0,0
12,0,0,0.00951493845337179,0.0017677754073896,0,0,0,0.00090141522189838,0,0,0,0.0170768105926304,0,2.50393117193995e-05,0.000145228007972517,0,0,0,0,0,0,0,0,0,0,6.51022104704386e-05,0,0,0.00795248540208127,0,0,0,0.000751179351581984,0,0,0,0.00122692627425057,0,0,0,0,0,0,0,0,0.000160251595004157,0,0,0,0,0,0.000180283044379676,0.000891399497210621,0,0,0.00691085003455425,0,0.000175275182035796,0,0.00270424566569514,0.000405636849854271,0.00184790120489168,0,0,0.00047574692266859,0,0.0608705667898601,0,0,0,0,0,0,0,3.50550364071592e-05,0,0,0,0.00115681620143626,0,0,0,0,0.000170267319691916,0,0,0,0
13,0,0,0.0195396057524599,0.0029042024549972,0,0.1660084904729,0.0137641096521539,0.00296179287195182,0,0,0,0.0224438082074571,0,0,0,0,0,0,8.22720242208839e-06,0,0,0,0,0,0,0,0,0,0.00979859808470728,0,0.000148089643597591,4.1136012110442e-05,0.00185112054496989,0,0,0.000152203244808635,0.00100783229670583,0,0,0,4.93632145325304e-05,0.000617040181656629,0,0,0,0.000131635238753414,0,0,0,0,0,0,0,0.00122585316089117,0,0.0028383848356205,0,0,0,0.00148089643597591,0.00033320169809458,0,0,0,0.000390792115049199,0,0.0538470398525685,0.000674630598611248,0,0,0,0,0,0,0,0.00151380524566426,0.00235297989271728,0.000139862441175503,0.000316747293250403,0,0,0,0,0,0.0452496133214862,0,0,0
14,2.13297840572662e-05,0.000277287192744461,0.0202632948544029,0.00903529652665796,0,0.0181217845350534,0.00611738206762395,0.00383936113030792,0,0,0,0.00872814763623333,0,0,0,0,0,0,0,0.00177463803356455,0,0,0,0,0,0,0,0,0.00677433941658775,0,0.000153574445212317,0,0.000639893521717986,0,0,0,0.00104515941880604,0,0,0,0,0.000319946760858993,0,0,0,0.000136510617966504,0,0,0,0,0,0,0,0.0019068826947196,0,0.00588702039980547,0,0,0.000106648920286331,0.00153574445212317,0.000691085003455425,0,0,0,0.00121579769126417,0,0.035898026568379,0.000349808458539166,0,0,0,0,0,0,0,0.000784936053307396,0.00488025459230251,0,0.0003284786744819,0,0,0,0.000725212657947051,0,0,0,0,0
15,0,0.000277287192744461,0.0222896243398432,0.0195764758077589,0,0,0.0305869103381197,0.00307148890424633,0,0,0,0.0290938254541111,0,0,0,3.41276544916259e-05,0,0.000196234013326849,0,0.00266195705034682,0,0,0,0,0,0,0,0,0.00508075456244081,0,0,0,0.00639893521717986,0,0,0,0,0,0,0,0,0.000639893521717986,0,0,0,0,0,0,0,0,0,0,0.00303736124975471,0.00254251025962613,0,0.0147175509995137,0,0,0,0.00230361667818475,0.000691085003455425,0,0,0,0,0,0.0797733923741756,0.000349808458539166,0,0,0,0,2.13297840572662e-05,0,0,0.00117740407996109,0.00122006364807563,0.00014504253158941,0.0003284786744819,0,0,0,0.00362606328973525,7.25212657947051e-05,0.0597233953603454,0,0,0
16,0,0,0.0130264038349733,0.0367865644299646,0,0,0.00524347034367767,0.00296179287195182,0,0,0,0.00374063470124286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653239872313818,0,0,0,0.00329088096883536,0,0,0,0.00268755279121554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292888406226347,0.00245170632178234,0,0.0132457958995623,0,0,0.00013712004036814,0.00394905716260243,0,0.0013492611972225,0,0,0.00208422461359573,0,0.148720395783285,0.000449753732407499,0,0,0,0,0,0,0,0.000504601748554755,0.00627461304724608,0,0.000422329724333871,0,0,0,0.00559449764702011,0,0,0,0,0
17,0,0,0.00713620384002884,0.00707110162955841,0,0.0106366996184009,0.00239375820037459,0.00180283044379676,0,0,0,0.0102460863555783,0,0,0,0,0,0.000115180833909237,0,0,0,0,0,0,0,0,0,0,0.00795248540208127,0,0,0,0.000751179351581984,0,0,0,0,0,0,0,0,0.000751179351581984,0,0,0,0,0,0,0,0,6.51022104704386e-05,0.000180283044379676,0.000891399497210621,0.000746171489238104,0,0.00518313752591569,0,0,0.000125196558596997,0.0045070761094919,0.000405636849854271,0,0,0,0.00047574692266859,0,0.0140470538745831,0,0,0,0,0,0,0,0,0.00046072333563695,0.0028644972606993,0,0,2.50393117193995e-05,0,0,0,0,0,0,0,0
18,0,0,0.0237873461334295,0.0035355508147792,0,0.0212733992368018,0.0191500656029967,0.00270424566569514,0,0,0,0.0102460863555783,0,0,0,0,0,0,0,0.00208327073505403,2.00314493755196e-05,0,0,0,0,0,0,0,0.00596436405156095,0,0,0,0,0,0,0.000185290906723556,0.00245385254850115,0,0,0,0,0.000751179351581984,0,0,0,0,0,0,0,0,0,0,0,0.00447702893542862,0,0.0155494125777471,0,0,0,0.00180283044379676,0.000405636849854271,0.00246386827318891,0,0,0.00142724076800577,0,0.0280941077491662,0,0,0,0,0,0,0,0,0,0.0100257404124475,0.000170267319691916,0,0,0,0,0.000851336598459581,0,0.0350550364071592,0,0,0
19,0,0,0.0102582930200415,0.0050823542962451,0,0.0917415342087077,0.00344102741303847,0,0,0,0,0.0638245795899562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171475466482377,0,0,0,0.0010798203178991,0,0,0,0,0,0,0,0,0.0010798203178991,0,0,0,0,0,0,0,0,0,0,0.00128138677724027,0.00107262151577977,0,0.0074507601935038,0,0,0,0.00129578438147892,0.000583102971665515,0.00354181064270905,0,0,0,0,0.0942323197419949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719880211932734,0,0,0
20,0,0,0.011723763451476,0,0,0.0786356007503209,0.00393260275775825,0,0,0,0,0.00561095205186428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979859808470728,0,0,0,0.00123408036331326,0,0,0,0.00201566459341166,0,0,0,0,0,0,0,0,0.000263270477506829,0,0,0,0,0,0,0.00146444203113173,0.00245170632178234,0,0.00567676967124099,0,0,0,0.00296179287195182,0,0,0,0,0.000781584230098397,0,0.0307697370586106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
