id,lat,lon,public_transport
723278920,45.4878163,9.1561943,stop_position
723278923,45.4878841,9.156143,stop_position
725598157,45.4915619,9.1481145,stop_position
725598159,45.491785,9.1475353,stop_position
726880711,45.4689034,9.1764719,platform
726899484,45.4751652,9.1815501,stop_position
726899486,45.4754259,9.1814611,stop_position
726905044,45.4779372,9.1804837,stop_position
726905052,45.4817155,9.1814536,platform
726905060,45.485141,9.1819115,stop_position
726923442,45.4952057,9.175812,stop_position
726927281,45.495394,9.1769563,stop_position
726927282,45.4969616,9.176916,platform
726927283,45.4968531,9.1768721,platform
726929846,45.4965879,9.1716856,stop_position
729049314,45.4450935,9.1620356,platform
729049322,45.4481363,9.1578412,stop_position
729049334,45.4521745,9.154346,platform
729049339,45.4546243,9.1529021,platform
729049346,45.443816,9.1720519,platform
729049367,45.4433661,9.1757171,platform
729049373,45.4436456,9.1754756,platform
729049388,45.4465623,9.1984842,platform
729049391,45.4467045,9.2040317,platform
729049395,45.4467965,9.203809,platform
729049397,45.447006,9.2085374,platform
729314024,45.4381875,9.1538954,platform
729314025,45.4374539,9.1620757,platform
729314026,45.437317,9.1577885,platform
729314029,45.4379718,9.1708375,platform
729314041,45.4360563,9.2011206,platform
729314042,45.4367407,9.2066806,platform
729314064,45.4421405,9.1487561,platform
729314068,45.4398938,9.1516567,platform
734793374,45.5150521,9.2314829,stop_position
739864333,45.5257045,9.2113221,stop_position
740494372,45.4843539,9.1794337,stop_position
768243485,45.4923204,9.192934,stop_position
768243487,45.5069564,9.2012033,stop_position
768243490,45.5038952,9.1994681,stop_position
768243491,45.5016619,9.1982123,stop_position
768243492,45.5147962,9.2056572,stop_position
768243497,45.5081029,9.2018521,stop_position
768243498,45.4990905,9.196762,stop_position
768243500,45.5118959,9.2039863,stop_position
768252339,45.5337607,9.215526,stop_position
768252340,45.5376478,9.2178476,stop_position
768960118,45.5219597,9.209695,stop_position
768960121,45.525838,9.2119094,stop_position
865335210,45.5697395,9.3622458,stop_position
865335471,45.5701358,9.3619968,stop_position
915269433,45.5291892,9.2764906,platform
916609458,45.5284822,9.2718079,platform
921656106,45.4278475,9.4552616,stop_position
935738120,45.4310152,9.1568667,platform
935738124,45.4307327,9.1585214,platform
