SEZ2011,closeness,betweenness
151460003268,1.4496260556909469e-9,66135.8723093531
151460004372,2.7771657993771154e-9,1223082.9340719741
151460002628,3.085725317257436e-9,1312850.6282360726
151460000167,3.1570913124370024e-9,1222955.7614009802
151460002171,3.0140105096950003e-9,1313142.676261934
151460002751,2.6244129628574127e-9,656941.8542084618
151460002477,2.9033032921691584e-9,1516791.1144712293
151460002873,2.9407331277355866e-9,1227997.2649891814
151460002189,2.922867545236517e-9,1236490.71615953
151460002485,2.566035550691548e-9,328582.70291186
151460002152,2.590543897796577e-9,801293.6016190124
151460002091,2.8214635932186077e-9,856878.7076045343
151460003322,2.9466322554249653e-9,293987.4826618287
151460003647,3.0232236116424812e-9,1298301.606854734
151460003109,2.189750619681996e-9,243326.88302673592
151460003780,3.1648675322790025e-9,1156457.4146762853
151460000580,3.2351230899061074e-9,1455410.6853317977
151460003548,2.444801237769076e-9,902124.9224000495
151460003512,3.0642468374532706e-9,1267783.497088573
151460002928,2.969828921172528e-9,1086633.5513039932
151460002725,3.117180631651658e-9,1853260.7484331522
151460003432,3.050575871520125e-9,1392374.0004479222
151460003434,2.9984170804764096e-9,1202298.9589466904
151460002652,3.2122852858036062e-9,2044625.9554779558
151460003475,3.250490211291926e-9,1006098.2975877792
151460002693,3.1194267246532645e-9,1606585.5158624486
151460003309,2.7749175347602116e-9,909437.0546822135
151460003257,2.9413020825918413e-9,924095.3455174279
151460003311,2.744108744228394e-9,613207.8102194286
151460003537,3.2666162635151478e-9,1508141.0130829816
151460002730,3.1070477377619526e-9,1709256.848055676
151460003177,2.8706371828760468e-9,1041571.9305360103
151460002973,2.8858669101437472e-9,894789.2925092718
151460003441,3.096680577023574e-9,1593361.9375820262
151460003174,2.8581514052993278e-9,734054.4710300956
151460000234,3.3017607133608733e-9,1883624.070226334
151460003355,2.9454244384473347e-9,824504.5645105526
151460003453,3.110637707268254e-9,1893256.4591048434
151460003312,2.8726236334787426e-9,600789.2419338496
151460003562,3.0813048369536987e-9,766072.7648681959
151460003415,3.111371093376307e-9,1914860.1998116905
151460003385,2.8046579811188356e-9,1083034.4403600288
151460000336,3.269886707109044e-9,1416897.3787323218
151460003308,2.8631874166694644e-9,1059397.587122261
151460000299,3.311166926794676e-9,2983134.6039620154
151460003431,2.972753767659089e-9,1237274.9323023683
151460003224,2.4744455317505446e-9,324629.9312481603
151460002590,2.527437410592258e-9,347753.51033240196
151460002440,2.2528887414744468e-9,258667.62444656255
151460002431,2.4696696359723338e-9,165200.2204003454
151460002428,2.4217651399150203e-9,417528.1005024065
151460002442,2.2912408226718918e-9,173353.18372910054
151460002350,2.822117833912308e-9,597208.7183936633
151460002420,2.4480737559773566e-9,389253.85931400745
151460002418,2.5165278059084774e-9,559586.4027154073
151460002335,2.816155783875912e-9,525693.7755434962
151460002421,2.4433448394220568e-9,283174.78087322816
151460002450,2.4852435717830415e-9,319822.7458856136
151460002398,2.6953359064891598e-9,733189.3364316593
151460002397,2.6920626885497217e-9,629556.9263959524
151460002325,1.9247850148414735e-9,263763.58252566366
151460002515,2.8008960591199443e-9,973600.1074390603
151460002510,2.624054552899575e-9,1061454.2907611756
151460000322,3.2642754098221655e-9,1264081.1442899972
151460003245,2.850858937194033e-9,324582.4653385748
151460000339,3.0952493126044684e-9,2723772.3989523733
151460003438,2.9026192058769716e-9,1098806.5714508924
151460003379,2.867326304442037e-9,1693567.573926201
151460003439,2.93399632315946e-9,1145699.1296657377
151460002910,3.0059840827781886e-9,1150932.1287766648
151460003260,2.8349819969675917e-9,469638.3433200115
151460003255,2.8151531532339283e-9,530509.1120331616
151460003144,2.7335823498374217e-9,930674.370109872
151460002176,3.1801847553973146e-9,741083.0889892841
151460002161,2.9761918729851986e-9,1733501.2249399736
151460002615,3.2101056583051246e-9,1244690.2702704691
151460002770,2.763127924989994e-9,663294.1719565004
151460002085,2.9651370668880236e-9,680391.3969243957
151460002170,3.159534042798701e-9,1429001.6721934956
151460000584,3.1351222379063987e-9,1487490.7235787276
151460002566,2.8022384204103912e-9,721463.3164009613
151460002754,2.9688257867104185e-9,576420.2679500345
151460002177,3.1153779476838494e-9,779863.1348610608
151460002656,3.1494407222316888e-9,1063646.449485646
151460002853,2.764750297012711e-9,455819.6657165362
151460003437,2.8697882013825916e-9,786379.2563638405
151460002986,2.598189437268334e-9,758489.3782914412
151460002663,3.2916751250799227e-9,2467708.0671267565
151460003195,2.8238586108860457e-9,496712.49827377795
151460003541,3.049135198732928e-9,902738.088969942
151460002978,2.848429380002548e-9,1115107.8291562872
151460002932,2.9369444172056956e-9,1424347.6532557416
151460003165,3.0795934401467486e-9,1494454.9579126425
151460002489,2.9297696690145833e-9,272153.602266835
151460002552,2.9424212234933917e-9,1111557.0253967051
151460002123,3.0753367496299773e-9,1569236.7363968473
151460002878,3.050186209238001e-9,327952.68604435446
151460006089,2.5984572652707576e-9,1051515.8850128164
151460006086,3.0064012994147816e-9,599030.9659156655
151460002577,2.7671543080001303e-9,815833.6682030394
151460000198,3.0315270657887554e-9,1704826.6404116359
151460002931,2.83258175922414e-9,875768.2689753835
151460002862,2.785173521676861e-9,701863.2857020042
151460000555,3.139665341840153e-9,946221.9879885706
151460002565,2.8054129815713435e-9,648140.1509365088
151460002604,3.076691295308742e-9,1436353.3555941535
151460002153,3.098227474725821e-9,637899.0056581593
151460002480,2.876753175100004e-9,781994.9544237108
151460000201,2.573956839639779e-9,1694888.8900840352
151460002145,2.9646884246852135e-9,805392.8973481548
151460002855,2.6969408760059814e-9,473964.1925068448
151460002169,3.030336431569731e-9,1362039.4602475946
151460000207,3.4018534939836318e-9,1040284.592568941
151460003454,2.9807727091227225e-9,1299730.788914478
151460003327,2.877913898515221e-9,823222.0335471684
151460003158,2.7842874315124704e-9,861680.7160146297
151460002935,2.983271809176094e-9,1229092.2583442533
151460003205,2.8349280762910685e-9,472393.8424024775
151460000317,3.312333329783653e-9,1414227.5562626503
151460003127,2.8966547398818165e-9,651305.394366535
151460003331,2.759536081789414e-9,821903.5034197181
151460003533,3.1055546472355352e-9,1063492.636734874
151460000334,3.2748654927215395e-9,1880521.4541532735
151460002673,3.3046237975042965e-9,2310592.6868883963
151460002888,2.961497966204716e-9,1125633.6301896183
151460002612,3.1024276976706074e-9,1277233.4450611835
151460002100,2.944827796597891e-9,735477.8853186378
151460002627,3.1159770589203283e-9,1420108.976832914
151460002206,3.117470921430368e-9,973649.8634829845
151460002766,2.7818178802153373e-9,722730.5904696685
151460002129,2.9375927516128347e-9,1342487.4031371376
151460002525,2.8996682269106917e-9,1678417.04120896
151460002141,2.8115185877741082e-09,685396.9656267778
151460002814,2.6869443171880914e-9,467146.93962677964
151460002126,3.1359111904906805e-9,1830725.5139496755
151460002856,2.7444600781400953e-9,607028.1856972837
151460002192,3.0430909574532637e-9,1474642.4841292538
151460002144,3.120820700606451e-9,604189.7671728666
151460002200,3.051506676223575e-9,1358005.2831602194
151460002035,2.955741127950114e-9,1138086.9998072395
151460002587,2.6196125547107723e-9,681711.6620110802
151460002538,2.8358438892161212e-9,968126.3816447908
151460002801,2.6895016061150563e-9,622499.3131728051
151460002092,2.5005172068427882e-9,625523.8628568437
151460002859,2.740807653751116e-9,642747.6871702702
151460002067,3.084197479674689e-9,1679543.046147334
151460002508,2.9406605417510433e-9,1219365.7286329223
151460002160,2.879243790410198e-9,1314529.6743420819
151460000169,3.0720475541649226e-9,1288977.2851464176
151460002763,2.8087758464056167e-9,701363.6141082526
151460002528,2.7681314397017297e-9,1053402.3811522797
151460002032,3.0694482282171108e-9,1362226.6931814605
151460002149,2.9874954532969265e-9,766189.3275480408
151460002104,2.970154165052374e-9,722288.8358942652
151460002209,3.2035962174979235e-9,1822981.1342356107
151460002527,2.7590275613190483e-9,1232350.0818838312
151460002165,2.8528439655302017e-9,1116030.495281818
151460002180,3.0699609051349365e-9,887028.4889021404
151460002115,2.987670370962559e-9,984495.8395201229
151460002071,NA,NA
151460002167,3.1261055873265122e-9,2155041.2747736345
151460002107,2.899141514167262e-9,905650.4201101416
151460002643,2.9793250729433415e-9,1196779.650383084
151460002323,2.81913947524231e-9,534322.6773585879
151460002800,2.472362391886537e-9,490463.1981814231
151460002099,2.8500268018989045e-9,862241.5555470879
151460002611,3.1273568879891664e-9,1752910.1503914637
151460002860,2.4277303069631828e-9,258792.64788810042
151460002044,2.7667342706746537e-9,871171.643429324
151460002861,2.7198479749289556e-9,795677.0239876743
151460002135,2.869001691577572e-9,1009473.1691247565
151460002112,2.9750187147736876e-9,967721.8170573933
151460002486,2.6230036906007096e-9,432946.87004944053
151460002076,3.006899521449058e-9,1486951.9489223098
151460002036,3.030260935297557e-9,1364700.6537349015
151460002550,2.7549010592728473e-9,832792.7166858431
151460001936,2.771529704117118e-9,603175.4339158022
151460001915,2.481134091644402e-9,485334.2989304155
151460001927,2.7259457413162513e-9,467939.81295500963
151460001101,2.646895658490892e-9,827250.4523430148
151460001299,2.757511513242119e-9,362303.46070142946
151460001272,2.5181329028615436e-9,388472.22433824284
151460001262,2.476049785635936e-9,403270.11537999375
151460001841,2.6740577072034443e-9,912138.951671541
151460002359,2.8464653047817617e-9,936313.3485968239
151460001123,2.7431617407618687e-9,519288.7214089454
151460001301,2.732579993500961e-9,522368.54790732823
151460001967,2.8330199843040376e-9,597377.0036130587
151460001882,2.495366103321611e-9,266124.09763176326
151460006074,2.5543798312626075e-9,411928.6459534181
151460001762,2.9362928084324323e-9,677144.9168712681
151460001267,2.5449885654196155e-9,544385.3973732301
151460001278,2.5265433359540895e-9,508898.2992940332
151460002255,2.962096102740898e-9,1598290.707670766
151460001319,2.609082215890088e-9,791609.4243859783
151460001850,2.7111846652540066e-9,853547.7206749811
151460001293,2.5959411926164283e-9,587495.9384071097
151460001894,2.773686578806513e-9,623929.5123482469
151460001712,2.672299602686524e-9,783390.6353206643
151460001885,2.811378693251785e-9,446299.1248247633
151460001286,2.545299540466246e-9,362024.5571109739
151460001963,2.7718414499127513e-9,633229.1701635526
151460001935,2.716704569384804e-9,489989.39968406194
151460001857,2.546617155397409e-9,663867.3775279729
151460003634,3.0111028073600336e-9,810452.22620299
151460003744,2.7678470570159594e-9,588599.6986957561
151460003668,2.954973085643367e-9,978560.6633763592
151460003677,2.9590392613989785e-9,702902.4077659519
151460003627,2.9322818681668122e-9,899590.9205569613
151460003712,2.9726249068432263e-9,1476229.654224459
151460003676,2.9446859523658673e-9,703521.2511966228
151460003734,2.833230010318894e-9,582685.4480507672
151460003566,2.85622399201251e-9,1107781.3231884846
151460003756,2.6604498340457335e-9,747100.477825813
151460004376,2.5774107909084297e-9,781115.317323803
151460003640,3.0418201249954495e-9,963208.6271529177
151460003242,2.6877241794788753e-9,586722.5108584432
151460003270,2.5738148436502317e-9,492452.86462161294
151460003588,2.953684364421613e-9,1190068.4608588805
151460003707,2.8013338389963384e-9,884787.9454402025
151460004215,2.4049714658597443e-9,411268.4767383226
151460003665,2.9152735321414563e-9,859099.0616967971
151460003670,2.835864911674982e-9,665434.4166604746
151460003739,2.7611997288908556e-9,572106.620837447
151460003622,2.9722748950576815e-9,487497.3624898504
151460003614,2.9862025685127367e-9,1183562.8487699719
151460004345,2.6574723672208046e-9,992152.8856773984
151460003704,2.858466400744697e-9,951852.6274694108
151460003615,3.031377174191065e-9,1042439.8726687079
151460004239,2.342220959682355e-9,528396.3934994028
151460004324,2.538339924179059e-9,888620.5258191625
151460003653,2.897781240508388e-9,845652.2404304609
151460003690,3.0137623300593564e-9,802911.8774079343
151460003678,2.954889082502919e-9,746076.9508465073
151460003601,2.6269031979678198e-9,754603.9333746481
151460004216,2.519771351827189e-9,412709.97770742385
151460003598,2.747800370327791e-9,773384.6169786557
151460003635,3.0069360745734667e-9,836922.548057122
151460003632,2.9627983420825023e-9,1134798.968276286
151460003753,2.7249670848603877e-9,727436.9216534459
151460003595,2.8924905712430267e-9,1130303.3919180552
151460003971,2.8699462248613786e-9,1061591.5831917836
151460003726,2.844980137422239e-9,758519.6102199671
151460003279,2.8055288223578515e-9,621958.4277646188
151460004309,2.5556606627406895e-9,427541.927796884
151460003667,2.8911617957062067e-9,849279.6766699194
151460003292,2.8303358318996825e-9,685546.9000943652
151460004357,2.62995232644772e-9,982424.1627050126
151460003711,3.021652605751153e-9,1398358.6600991145
151460004237,2.3050057122684827e-9,426222.8597673926
151460003693,2.89124562194832e-9,653570.1740994642
151460003658,2.8771150441830196e-9,731162.9076879562
151460004366,2.6655828543058125e-9,632921.0058344805
151460003701,2.9216306398979527e-9,900971.4938649541
151460004316,2.444812323458543e-9,450199.2088751089
151460003587,2.81425762290097e-9,889919.6448464813
151460003637,3.0141730855856027e-9,1124676.308355548
151460003349,2.9305950844070936e-9,642091.0950127135
