CVE_GEOAGE,closeness,betweenness
0900200010237,1.14408198650886e-11,8580184.11819636
0900200010345,1.18846125207124e-11,6140385.4713338
0900200010330,1.18286050543373e-11,7797753.17743599
0900200010218,1.19699705074693e-11,9212326.90963644
0900200010203,1.19389333658753e-11,6356437.90740601
0900200010966,1.14471999061633e-11,5761260.45918379
0900200010256,1.15797580373058e-11,7691762.64121602
0900200011095,1.1561013342269e-11,4354369.31995375
0900200010275,1.17636015246405e-11,9790623.51405996
0900200010190,1.18101200331206e-11,9442496.93567185
090020001028A,1.18503584922264e-11,11314756.3301787
0900200011184,1.15027536274084e-11,6696153.26592989
0900200011057,1.21434759763563e-11,6704587.20184597
0900200010504,1.19517019999987e-11,8384869.65866597
0900200010519,1.18786301043607e-11,11044916.9257287
0900200010716,1.1997727274445e-11,10008485.3117285
0900200010364,1.21416372443499e-11,7381193.20089328
0900200010561,1.22245915102924e-11,6545977.6503158
0900200011150,1.17466274483337e-11,9483144.91771736
0900200010491,1.19570719358287e-11,5848584.55070486
0900200010487,1.19703635650418e-11,5881895.59070667
0900200010773,1.22859875700025e-11,7186687.43105948
0900200010684,1.18777688061018e-11,11535724.3371679
0900200011112,1.14648380609373e-11,5052190.45209294
0900200010542,1.21645027551306e-11,12602304.7811887
0900200011146,1.19870762584687e-11,18513787.7505933
090020001117A,1.14933741955974e-11,4965127.79628648
090020001003A,1.15080395139353e-11,5590543.19288662
0900200010025,1.16076525831387e-11,6208557.6429262
0900200010044,1.1588253785371e-11,4965946.5082949
090020001010A,1.15820081035465e-11,3298694.86072797
0900200010186,1.17391613257001e-11,5012672.92719307
0900200010260,1.17267060821222e-11,7072680.34419326
0900200010699,1.19471182402829e-11,15897808.9079894
090020001067A,1.19138156481745e-11,9563987.84258615
0900200010379,1.21342695929519e-11,7939955.70130455
0900200010383,1.21087859590138e-11,7624197.25080309
0900200010148,1.1464035367174e-11,5908070.4913786
0900200010896,1.18379118382443e-11,9173188.05790813
0900200010311,1.19339413190535e-11,8799062.81997381
0900200010468,1.18857103524893e-11,19727938.012061
0900200010985,1.15812467905938e-11,6079424.02241237
0900200010843,1.21317969179289e-11,12039408.0742545
0900200010970,1.1548396034999e-11,4887566.04305166
0900200010167,1.16418397804307e-11,5320221.84216323
0900200011080,1.13786356892806e-11,6245944.04097219
0900200010171,1.16119835150426e-11,6303445.35033333
0900200011131,1.18583850472261e-11,11502593.3644063
0900200010129,1.17200455601599e-11,8678994.33483879
090020001074A,1.21174680370941e-11,9705358.48377603
0900200010398,1.21329089278914e-11,8851175.99141862
0900200010557,1.22015079046639e-11,8222327.1718573
0900200010400,1.21454794385626e-11,7448978.96169355
0900200010947,1.15840024182668e-11,10042842.9252462
0900200010858,1.22238995756086e-11,8829682.89311825
0900300010145,1.13850074306062e-11,10391108.4915989
0900300010431,1.10388828128722e-11,6174249.29214207
0900300010287,1.1233791430185e-11,5736265.91693082
0900300010427,1.11151274690642e-11,5412656.15784933
0900300010681,1.1159597816057e-11,11169077.1376223
0900300010677,1.11006255191956e-11,7395421.4499627
0900300010484,1.13036410150119e-11,7124384.02028569
0900300010728,1.11703780240062e-11,7215055.79375379
0900300011675,1.09807178774985e-11,6083378.29301383
0900300010889,1.10591965142087e-11,7515316.97715199
090030001143A,1.08997599299526e-11,6367307.48984957
0900300011482,1.0249849727908e-11,3990006.55920824
0900300011410,1.09272076489204e-11,8505787.90977708
0900300011143,1.13319559725566e-11,5471889.61317365
0900300011139,1.13348121002795e-11,6347604.42268329
0900300010465,1.1292542828579e-11,11895432.1038703
090030001168A,1.09179336588742e-11,8852843.3922275
0900300010836,1.09213310447733e-11,6274716.49431095
0900300010022,1.15175590890165e-11,10039621.2793123
0900300011336,1.11299015545765e-11,7279191.25881643
0900300011389,1.1246739416365e-11,7926590.60948793
090030001008A,1.16108115464749e-11,10121197.6715797
0900300010041,1.15873673467674e-11,9895908.43311782
0900300010037,1.15246107033042e-11,8358049.84826746
0900300010215,1.15699087975073e-11,7397549.23224982
090030001054A,1.09749161442458e-11,9532217.77089732
0900300010412,1.1018069767097e-11,6662398.16914012
0900300010408,1.09975283053546e-11,8861566.35694862
0900300010380,1.10183026259529e-11,5936507.25313523
0900300010361,1.10196344868274e-11,6212831.06052727
