CVE_GEOAGE,AMPLIACION,ANDADOR,AVENIDA,BOULEVARD,CALLE,CALLEJON,CALZADA,CARRETERA,CERRADA,CIRCUITO,CONTINUACION,CORREDOR,DIAGONAL,EJE VIAL,OTRO,PASAJE,PEATONAL,PERIFERICO,PRIVADA,PROLONGACION,RETORNO,VIADUCTO,street_density
0900200011061,0,0,0,0,52.7760742946846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284805566123294
0900200010839,0,0,17.1516642588434,0,54.2420763584259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247776958016215
0900200010307,0,331.545622119816,22.0521397613701,0,12.1468742424274,60.4867836965295,0,0,25.2317825053132,0,0,0,0,91.5839239887572,0,0,0,0,1.62500779240491,0,0,0,0.0267255477664465
0900200010294,0,0,32.1593704853314,0,13.1940185736712,0,0,0,44.1556193842981,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0178592995554286
0900200011019,0,18.4192012288786,1.42930535490362,0,4.39800619122372,0,0,0,7.35926989738302,0,0,0,0,170.956658112347,0,0,0,0,3.7916848489448,0,0,0,0.021803404391329
0900200010449,0,22.1030414746544,5.14549927765302,0,23.4560330198598,0,0,0,0,0,0,0,0,25.643498716852,0,0,0,0,25.0251200030357,0,0,0,0.022580071989738
0900200010434,0,0,11.4344428392289,0,34.6953821752094,0,0,0,0,0,0,0,0,341.913316224693,0,0,0,0,0,0,0,0,0.0205652096163049
0900200010631,0,0,15.007706226488,0,52.043073262814,0,0,0,22.0778096921491,0,0,0,0,0,0,0,0,0,17.0625818202516,0,0,0,0.0207074999013035
090020001099A,0,0,0,0,8.30734502786703,0,0,0,14.718539794766,0,0,0,0,0,0,0,0,0,3.7916848489448,0,0,0,0.0134077036495683
0900200010133,0,0,29.1578292400338,0,19.6444276541326,1016.17796610169,0,0,92.7268007070261,0,0,0,0,0,0,0,0,0,9.10004363746751,0,0,0,0.0192153410226653
0900200010909,0,0,8.57583212942169,0,5.13100722309434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150749151803714
0900200011038,0,110.515207373272,15.7223589039398,0,17.1033574103145,0,154.20396090535,0,55.1945242303727,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0189412487559928
0900200010788,0,0,32.1593704853314,0,23.0895325039245,0,0,0,0,417.689442658092,0,0,0,64.10874679213,0,0,0,0,0,0,0,0,0.0212712616603269
0900200010580,0,0,12.8637481941325,0,15.393021669283,0,77.1019804526749,0,14.718539794766,0,0,0,0,256.43498716852,0,0,0,0,5.68752727341719,0,0,0,0.0257065128763652
0900200010792,0,0,21.4395803235542,0,21.257029924248,0,0,0,38.6361669612609,0,0,0,0,0,0,0,0,0,5.68752727341719,0,0,0,0.0158688235556338
0900200011042,0,110.515207373272,13.4763076319484,0,12.3563031086762,0,66.0874118165785,0,31.5397281316415,0,0,0,0,0,0,0,255.669509594883,0,9.75004675442947,0,0,0,0.0155970497159863
0900200010612,0,0,4.28791606471085,0,39.5820557210135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022896627608092
0900200010608,0,0,8.57583212942169,0,24.1890340517305,0,231.305941358025,0,0,0,0,0,0,0,0,0,0,0,2.8437636367086,0,0,0,0.0248462381295624
0900200010627,0,0,13.7213314070747,0,15.2464214629089,0,46.2611882716049,0,4.41556193842981,0,0,0,0,0,0,0,0,0,2.27501090936688,0,0,0,0.0238636736200784
0900200010595,0,0,12.8637481941325,0,52.043073262814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245036369134691
0900200010237,0,0,11.4344428392289,0,36.650051593531,0,0,0,0,0,0,0,0,0,0,0,0,0,18.958424244724,0,0,0,0.0144940478321695
0900200010345,0,0,15.436497832959,0,17.0056239393984,84.6814971751413,0,0,35.3244955074385,0,0,0,0,0,0,0,0,0,2.27501090936688,0,0,0,0.0134099285367813
