IMU,platform,station,stop_area,stop_position,yes
-1.111656726,NA,NA,NA,NA,NA
-0.907700562,NA,NA,NA,NA,NA
-0.106377418,2.05128205128205,0,0,0.788177339901478,0
-1.230479549,4.1025641025641,0,0,1.57635467980296,0
-1.159402998,4.1025641025641,0,0,1.57635467980296,0
-1.199992953,NA,NA,NA,NA,NA
-0.466768123,NA,NA,NA,NA,NA
-0.330159625,NA,NA,NA,NA,NA
-1.193908948,NA,NA,NA,NA,NA
-1.172326609,NA,NA,NA,NA,NA
-1.307416547,NA,NA,NA,NA,NA
-1.428947382,NA,NA,NA,NA,NA
-1.244927605,NA,NA,NA,NA,NA
-1.36709544,NA,NA,NA,NA,NA
-1.438942737,NA,NA,NA,NA,NA
-1.242999435,NA,NA,NA,NA,NA
-0.619433379,NA,NA,NA,NA,NA
-0.919034693,0,4.32432432432432,0,1.57635467980296,0
-0.575797948,NA,NA,NA,NA,NA
-0.591312486,NA,NA,NA,NA,NA
-0.488911787,NA,NA,NA,NA,NA
-0.691256091,NA,NA,NA,NA,NA
-0.937558689,0,0,0,1.57635467980296,0
-0.192660872,NA,NA,NA,NA,NA
-0.294869617,NA,NA,NA,NA,NA
-0.463597321,NA,NA,NA,NA,NA
-1.149402097,NA,NA,NA,NA,NA
-1.075697898,6.15384615384615,0,0,2.36453201970443,0
-1.162501307,4.1025641025641,0,0,1.57635467980296,0
-1.142847544,2.05128205128205,0,0,0.788177339901478,0
-0.352688047,NA,NA,NA,NA,NA
-1.211594574,NA,NA,NA,NA,NA
-1.220396497,NA,NA,NA,NA,NA
-0.381410151,NA,NA,NA,NA,NA
-1.119471026,2.05128205128205,0,0,0.788177339901478,0
-0.701889025,NA,NA,NA,NA,NA
-1.163330685,4.1025641025641,0,0,1.57635467980296,0
-1.244127839,4.1025641025641,0,0,1.57635467980296,0
-1.3856645,4.1025641025641,0,0,1.57635467980296,0
-1.081975169,NA,NA,NA,NA,NA
-0.98700078,2.05128205128205,0,0,0.788177339901478,0
-1.218749058,NA,NA,NA,NA,NA
-1.244588987,NA,NA,NA,NA,NA
-0.832045594,NA,NA,NA,NA,NA
-1.198297607,NA,NA,NA,NA,NA
-1.057420388,NA,NA,NA,NA,NA
-1.149425213,NA,NA,NA,NA,NA
-1.112497223,NA,NA,NA,NA,NA
-1.228446887,NA,NA,NA,NA,NA
-1.153849736,NA,NA,NA,NA,NA
-1.351372473,NA,NA,NA,NA,NA
-1.282250379,NA,NA,NA,NA,NA
-1.085538234,NA,NA,NA,NA,NA
-1.170811428,NA,NA,NA,NA,NA
-1.324074238,0,4.32432432432432,0,2.36453201970443,0
-0.932234549,0,8.64864864864865,0,2.36453201970443,0
-1.012199141,NA,NA,NA,NA,NA
-0.574935348,NA,NA,NA,NA,NA
-1.303068246,4.1025641025641,0,106.666666666667,42.5615763546798,0
-0.271641297,NA,NA,NA,NA,NA
-0.911337422,2.05128205128205,0,0,1.57635467980296,0
-1.245238394,4.1025641025641,2.88288288288288,0,2.62725779967159,0
-1.107421599,8.2051282051282,2.88288288288288,0,3.67816091954023,0
