id,lat,lon,public_transport
30380343,19.2793814,-99.1331525,stop_position
30380358,19.2826638,-99.1396213,stop_position
30380511,19.3314568,-99.1405732,stop_position
30380542,19.3405596,-99.143385,stop_position
30380562,19.2678189,-99.1255052,stop_position
30380578,19.2605948,-99.1111007,stop_position
30380589,19.2593554,-99.1078466,stop_position
30383341,19.2886339,-99.1467087,stop_position
30416399,19.4072144,-99.1551049,station
272202013,19.374553,-99.257443,stop_position
272202024,19.3772206,-99.252618,stop_position
292395760,19.3232927,-99.1920576,stop_position
308556308,19.3848614,-99.1865339,station
406116140,19.3412074,-99.1393532,stop_position
406116175,19.3411851,-99.1390923,stop_position
772405244,19.3409334,-99.1345418,stop_position
1096665791,19.3232171,-99.1866433,stop_position
1097707134,19.5394836,-99.0251196,stop_position
1097711439,19.5397407,-99.0257275,stop_position
1122308185,19.3372076,-99.1844288,stop_position
1130113533,19.3070411,-99.1432474,stop_position
1130113539,19.3240461,-99.1381939,stop_position
1130113545,19.2608504,-99.1115501,stop_position
1130113558,19.3129717,-99.1404827,stop_position
1130113564,19.297472,-99.1506837,stop_position
1130113572,19.3071806,-99.143096,station
1130113578,19.2676557,-99.1252675,stop_position
1130113604,19.3318483,-99.1406175,stop_position
1130113634,19.3180687,-99.1387031,stop_position
1130113671,19.2827408,-99.1396781,station
1130113700,19.3132479,-99.1403211,stop_position
1130113711,19.3355566,-99.1418332,stop_position
1130113719,19.3272562,-99.1392683,stop_position
1130113729,19.3130976,-99.1404068,station
1130113733,19.2887199,-99.1467331,station
1130113736,19.2828006,-99.1397382,stop_position
1130113748,19.3359742,-99.1418914,stop_position
1130113753,19.2643906,-99.1186154,station
1130113763,19.2887907,-99.1467535,stop_position
1130113765,19.3236302,-99.138145,stop_position
1130113767,19.3409764,-99.1434324,stop_position
1130113768,19.2595711,-99.1084407,stop_position
1130113781,19.307331,-99.1429446,stop_position
1130113790,19.25946,-99.1081278,station
1130113794,19.267884,-99.1255474,station
1130113803,19.2794554,-99.1331806,station
1130113823,19.2642748,-99.1183339,stop_position
1130113836,19.2607208,-99.1113054,station
1130113854,19.3176924,-99.1389096,stop_position
1130113868,19.3436682,-99.1404968,station
1130113875,19.3276646,-99.1393177,stop_position
1130113876,19.279533,-99.133204,stop_position
1135208426,19.3372618,-99.1202855,stop_position
1140464319,19.3359772,-99.1856015,stop_position
1158001843,19.4215384,-99.1710583,station
1164709168,19.3189126,-99.1758099,stop_position
1164709187,19.3119265,-99.1846384,stop_position
1179867291,19.323692,-99.187906,stop_position
1383419168,19.4834087,-99.106577,platform
1383419180,19.4835351,-99.1066091,platform
1383419185,19.4831406,-99.1065287,platform
1383419186,19.4830193,-99.1064643,platform
1383419190,19.4828524,-99.1062768,platform
1383419193,19.4832924,-99.1065501,platform
1383419201,19.482822,-99.1061856,platform
1383419209,19.4829335,-99.1063916,platform
1937470237,19.5224934,-99.1654134,stop_position
1937471509,19.5154025,-99.1619834,stop_position
1991237764,19.2863506,-99.0142447,stop_position
2266164095,19.4058971,-99.1783793,yes
2278973485,19.4144753,-99.1545345,station
