room_id,room_type,city,price,latitude,longitude
10781652,Private room,Ciudad de México,21.0,19.432973,-99.17046
6026506,Private room,Mexico City,27.0,19.412089,-99.176679
6300877,Private room,Ciudad de México,80.0,19.427042,-99.174073
11343168,Private room,Ciudad de México,34.0,19.427899,-99.171173
7789320,Private room,Ciudad de México,20.0,19.414192,-99.175398
13302390,Private room,Ciudad de México,10.0,19.411411,-99.179296
9429370,Private room,Ciudad de México,41.0,19.414199,-99.171952
11887396,Private room,Mexico City,52.0,19.407765,-99.178918
2521698,Private room,Mexico City,98.0,19.412078,-99.176679
7764344,Private room,Ciudad de México,45.0,19.430702,-99.163912
9291120,Private room,Ciudad de México,22.0,19.43322,-99.16568
13668039,Private room,Ciudad de México,10.0,19.431955,-99.164772
5979450,Private room,México,31.0,19.412519,-99.176214
11950524,Private room,Ciudad de México,18.0,19.428668,-99.173491
1492972,Private room,Ciudad de México,18.0,19.410421,-99.178068
5230043,Private room,Cuauhtémoc,34.0,19.431696,-99.166349
7387910,Private room,Ciudad de México,23.0,19.431498,-99.164407
12222065,Private room,Ciudad de México,23.0,19.432059,-99.167772
11818906,Private room,Mexico City,31.0,19.41181,-99.176002
9012892,Private room,Ciudad de México,31.0,19.432464,-99.167074
7277187,Private room,Ciudad de México,16.0,19.43153,-99.171288
6144727,Private room,Ciudad de México,39.0,19.428707,-99.172224
5028620,Private room,Ciudad de México,46.0,19.419996,-99.177187
11530432,Private room,Ciudad de México,23.0,19.413565,-99.179743
10970128,Private room,Ciudad de México,26.0,19.434538,-99.167837
12972081,Private room,Ciudad de México,12.0,19.411143,-99.181298
13496061,Private room,Mexico City,12.0,19.411521,-99.18123
4516607,Private room,Mexico City,41.0,19.411768,-99.174375
13186164,Private room,Ciudad de México,41.0,19.412457,-99.175929
11874962,Private room,Ciudad de México,16.0,19.383476,-99.158574
12517414,Private room,Ciudad de México,16.0,19.41327,-99.17828
13098943,Private room,Ciudad de México,84.0,19.410533,-99.176208
11576104,Private room,Ciudad de México,20.0,19.416973,-99.177893
3848018,Private room,Mexico City,21.0,19.410661,-99.176545
9394568,Private room,Ciudad de México,29.0,19.411279,-99.174522
1221050,Private room,Mexico City,41.0,19.412075,-99.177553
14184695,Private room,Ciudad de México,43.0,19.414127,-99.179406
9841623,Private room,Ciudad de México,39.0,19.413254,-99.175943
10682745,Private room,Ciudad de México,36.0,19.4108,-99.182014
10489418,Private room,Ciudad de México,21.0,19.407519,-99.182022
4998280,Private room,Ciudad de México,77.0,19.416474,-99.177471
11982194,Private room,Ciudad de México,18.0,19.419347,-99.177341
11942158,Private room,Ciudad de México,33.0,19.414434,-99.171814
11148703,Private room,Ciudad de México,41.0,19.411346,-99.17994
12815057,Private room,Ciudad de México,84.0,19.412005,-99.173423
11042536,Private room,Ciudad de México,25.0,19.416228,-99.178094
7206706,Private room,Ciudad de México,28.0,19.411976,-99.176991
11717231,Private room,Ciudad de México,28.0,19.410215,-99.180051
11418335,Private room,Ciudad de México,24.0,19.416859,-99.17663
11099845,Private room,Ciudad de México,34.0,19.411782,-99.175319
5152399,Private room,Ciudad de México,20.0,19.409757,-99.176916
9841308,Private room,Ciudad de México,23.0,19.413078,-99.180536
9155035,Private room,Ciudad de México,20.0,19.411746,-99.175794
3410805,Private room,Mexico City,39.0,19.408061,-99.182668
6025951,Private room,Mexico City,41.0,19.411764,-99.178053
2733112,Private room,Mexico City,41.0,19.412684,-99.175791
4091848,Private room,Ciudad de México,23.0,19.430907,-99.172278
13715412,Private room,Ciudad de México,26.0,19.412578,-99.175586
8827494,Private room,Ciudad de México,45.0,19.414333,-99.171507
12320410,Private room,Ciudad de México,18.0,19.414174,-99.178352
12275578,Private room,Ciudad de México,42.0,19.412838,-99.177109
11849105,Private room,Ciudad de México,12.0,19.419916,-99.172606
12927924,Private room,Mexico City,26.0,19.399091,-99.168685
10223524,Private room,Ciudad de México,20.0,19.379843,-99.159447
8128468,Private room,Del Valle Norte,24.0,19.400261,-99.162699
8994328,Private room,Ciudad de México,23.0,19.411362,-99.177737
12367698,Private room,Del Valle Norte,20.0,19.398879,-99.168996
7443720,Private room,Del Valle Norte,15.0,19.393467,-99.165694
12782574,Private room,Ciudad de México,113.0,19.382704,-99.170854
3540570,Private room,Mexico City,15.0,19.398247,-99.169095
10991365,Private room,mexico,36.0,19.382087,-99.166466
6356949,Private room,México,28.0,19.412189,-99.18089
14355319,Private room,Ciudad de México,42.0,19.393162,-99.166308
11905914,Private room,Mexico City,96.0,19.351379,-99.166962
14186837,Private room,Ciudad de México,16.0,19.39192,-99.16626
7330848,Private room,Ciudad de México,18.0,19.395033,-99.171001
14304805,Private room,Del Valle Norte,28.0,19.401949,-99.16241
11756873,Private room,Ciudad de México,31.0,19.410853,-99.177311
11187379,Private room,Ciudad de México,14.0,19.386709,-99.169769
11036056,Private room,Ciudad de México,14.0,19.37162,-99.171415
11532681,Private room,Ciudad de México,50.0,19.379381,-99.167847
12929874,Private room,Mexico City,23.0,19.400667,-99.168854
1654935,Private room,Mexico City,16.0,19.417167,-99.177346
13846107,Private room,Ciudad de México,11.0,19.414514,-99.172466
11777452,Private room,Ciudad de México,41.0,19.395749,-99.161761
12797731,Private room,Ciudad de México,24.0,19.394631,-99.163455
12681507,Private room,Ciudad de México,11.0,19.371123,-99.169962
9524025,Private room,Ciudad de México,14.0,19.409779,-99.180979
14402982,Private room,Ciudad de México,22.0,19.385492,-99.167251
6645069,Private room,Ciudad de México,23.0,19.431867,-99.156784
14470319,Private room,Ciudad de México,66.0,19.424822,-99.167351
13297817,Private room,Del Valle Norte,29.0,19.391031,-99.168097
14254816,Private room,Del Valle Norte,34.0,19.394769,-99.17018
10782311,Private room,Ciudad de México,12.0,19.414154,-99.178119
13390004,Private room,Del Valle Norte,27.0,19.395918,-99.160295
9525375,Private room,Ciudad de México,21.0,19.371411,-99.175005
14339353,Private room,Ciudad de México,52.0,19.350604,-99.154561
13728597,Private room,Ciudad de México,21.0,19.353709,-99.163549
6512539,Private room,Ciudad de México,23.0,19.353728,-99.177622
11894528,Private room,Mexico City,96.0,19.352789,-99.166765
8653961,Private room,Ciudad de México,459.0,19.357642,-99.159712
13249825,Private room,Ciudad de México,26.0,19.346746,-99.154559
2519535,Private room,Mexico City,43.0,19.354058,-99.163395
11742636,Private room,Ciudad de México,33.0,19.34853,-99.155978
13301381,Private room,Ciudad de México,28.0,19.349456,-99.155878
12154557,Private room,Ciudad de México,28.0,19.349097,-99.153397
11119692,Private room,Ciudad de México ,14.0,19.371065,-99.170181
12989806,Private room,Ciudad de México,16.0,19.356114,-99.156242
10343707,Private room,Ciudad de México,19.0,19.382535,-99.170822
725399,Private room,Mexico City,36.0,19.355504,-99.164403
7582942,Private room,Ciudad de México,20.0,19.35294,-99.156967
14177670,Private room,Ciudad de México,16.0,19.391633,-99.171758
10279030,Private room,Ciudad de México,23.0,19.350662,-99.177608
7873652,Private room,Coyoacán,56.0,19.347003,-99.166645
5173777,Private room,Ciudad de México,44.0,19.354109,-99.163108
13770968,Private room,Ciudad de México,15.0,19.354202,-99.152122
11220608,Private room,Ciudad de México,14.0,19.388876,-99.162766
13899559,Private room,Ciudad de México,29.0,19.356957,-99.160849
1248431,Private room,Ciudad de México,54.0,19.344835,-99.157859
9939898,Private room,Ciudad de México,25.0,19.347038,-99.173327
12548433,Private room,Ciudad de México,16.0,19.392912,-99.166036
11204436,Private room,Mexico City,30.0,19.348381,-99.1678
9528273,Private room,Ciudad de México,34.0,19.352175,-99.169122
9435143,Private room,Ciudad de México,14.0,19.39435,-99.162168
6415338,Private room,Ciudad de México,18.0,19.345198,-99.159711
11803185,Private room,Ciudad de México,28.0,19.394704,-99.16159
12985240,Private room,Del Valle Norte,47.0,19.399636,-99.170096
5470627,Private room,Mexico DF,24.0,19.395083,-99.1701
4604456,Private room,Mexico City,31.0,19.393277,-99.161826
9881709,Private room,Del Valle Norte,23.0,19.395028,-99.166962
716741,Private room,Ciudad de México,28.0,19.349395,-99.175608
12543347,Private room,Ciudad de México,14.0,19.390673,-99.169011
4525241,Private room,Mexico City,14.0,19.381195,-99.173397
7198492,Private room,Mexico City,31.0,19.42867,-99.157319
10593785,Private room,df,20.0,19.390595,-99.163878
3987924,Private room,Ciudad de México,31.0,19.392796,-99.163571
3314993,Private room,Mexico City,16.0,19.436862,-99.142982
12064563,Private room,Ciudad de México,20.0,19.384669,-99.17041
1944179,Private room,Mexico City,61.0,19.427905,-99.159234
12736697,Private room,Ciudad de México,16.0,19.379459,-99.171601
11011416,Private room,Ciudad de México,29.0,19.427815,-99.159424
10524633,Private room,Ciudad de México,30.0,19.429517,-99.157621
8756599,Private room,Ciudad de México,55.0,19.433316,-99.186525
6662892,Private room,Ciudad de México,23.0,19.398375,-99.16521
6994948,Private room,Del Valle Norte,18.0,19.400543,-99.16164
3869175,Private room,Mexico City,22.0,19.437281,-99.142236
307301,Private room,Mexico City,52.0,19.431117,-99.196298
11881307,Private room,Del Valle Norte,16.0,19.395892,-99.167385
11566401,Private room,Ciudad de México,13.0,19.387276,-99.169995
9578718,Private room,Ciudad de México,23.0,19.427338,-99.153456
13649816,Private room,Del Valle Norte,26.0,19.390583,-99.164416
10696274,Private room,Ciudad de México,67.0,19.438356,-99.212208
12087074,Private room,Ciudad de México,23.0,19.425211,-99.169016
8779113,Private room,Colonia Juárez,67.0,19.42928,-99.157008
6349068,Private room,México,15.0,19.387183,-99.167436
11910634,Private room,Ciudad de México,10.0,19.394082,-99.165739
1570806,Private room,Mexico City,57.0,19.431282,-99.155288
5317885,Private room,Ciudad de México,41.0,19.432925,-99.151898
